Diseases name,Category,Question,Answer
Sheath blight,Symptoms,What are the first signs of sheath blight I should look for on the rice plant's lower parts?,The initial signs of sheath blight typically appear on the lower leaf sheaths  close to the water line. Look for oval or elliptical lesions  often greenish-gray and water-soaked in appearance. These lesions might start small  around 1-3 cm long  and can be easily overlooked. They are usually found on the innermost sheaths of tillers  near the base of the plant. Early detection is crucial for effective management.
Sheath blight,Symptoms,"Describe the color, shape, and size of a typical lesion caused by sheath blight on the leaf sheath.",Typical sheath blight lesions are oval to elliptical in shape. They start as greenish-gray  water-soaked spots  then expand to become larger  often several centimeters long. Mature lesions have a distinct grayish-white to straw-colored center with a dark reddish-brown or purplish-brown margin. The size can vary from 1-3 cm initially to covering almost the entire sheath under severe conditions.
Sheath blight,Symptoms,"What are the small, brown, seed-like bodies I see on the lesions, and what is their role?",The small  brown  seed-like bodies you see on sheath blight lesions are called sclerotia. These are survival structures of the fungus *Rhizoctonia solani*. Sclerotia are highly resilient and can survive in the soil or on crop residue for extended periods  even during adverse conditions. Their primary role is to act as the primary source of inoculum for subsequent rice crops  floating on irrigation water to infect new plants.
Sheath blight,Symptoms,How does the disease lesion on the sheath spread vertically up the plant?,Sheath blight lesions spread vertically up the plant primarily through the growth of the fungal mycelium. The fungus grows upwards from initial infection sites near the water line  moving from one leaf sheath to the next. This vertical progression is facilitated by high humidity within the dense rice canopy. The disease can ascend several leaf sheaths  eventually reaching the flag leaf sheath  which is critical for grain filling.
Sheath blight,Symptoms,"What happens when the lesions reach the flag leaf sheath, and why is that stage critical?",When sheath blight lesions reach the flag leaf sheath  it is a critical stage because the flag leaf is the primary contributor to grain filling and yield. Infection at this stage severely impairs photosynthesis and nutrient translocation to the developing panicle. This leads to poorly filled grains  increased sterility  and significant yield losses. The disease directly impacts the most vital photosynthetic organ for grain production.
Sheath blight,Symptoms,How can I distinguish a sheath blight lesion from a bacterial or fungal leaf spot?,Sheath blight lesions are typically larger  oval to elliptical  with a grayish-white center and a distinct reddish-brown margin  starting near the water line. Bacterial leaf spots (e.g.  bacterial blight) usually appear as water-soaked streaks or angular lesions along leaf veins  often with a yellow halo. Other fungal leaf spots (e.g.  brown spot) are smaller  more circular  and uniformly brown or dark. Sheath blight's location on the sheath and sclerotia presence are key differentiators.
Sheath blight,Symptoms,"Does the disease ever cause symptoms on the rice leaf blade itself, and if so, what do they look like?",While sheath blight primarily affects the leaf sheaths  severe infections can sometimes extend to the lower parts of the leaf blades. When symptoms appear on the leaf blade  they generally manifest as irregularly shaped  discolored patches. These blade lesions usually develop directly from an adjacent infected sheath. They will typically have the same grayish-white center and reddish-brown margin characteristic of the sheath lesions.
Sheath blight,Symptoms,What is the overall visual effect on the rice canopy when sheath blight infection is severe?,"In severe sheath blight infections  the rice canopy displays a noticeable ""burnt"" or ""scorched"" appearance. Large areas of plants may have dried  straw-colored leaves and sheaths  often collapsing. The lower parts of the canopy appear yellowed or blighted  contrasting sharply with healthier upper leaves if not yet infected. This widespread discoloration and lodging significantly reduce the plant's photosynthetic capacity and overall vigor."
Sheath blight,Symptoms,Does the disease cause the rice culm (stem) to rot or weaken?,Yes  sheath blight can significantly weaken the rice culm (stem). Although the fungus primarily infects the leaf sheaths  its deep penetration into the sheath tissue can compromise the structural integrity of the culm. This leads to a rotting or softening of the internal tissues  making the plant highly susceptible to lodging (falling over)  especially during strong winds or heavy rain. This weakening directly impacts harvest efficiency and yield.
Sheath blight,Symptoms,How does the color of the lesion change as it ages from a fresh infection to an old one?,As a sheath blight lesion ages  its color changes distinctly. Fresh infections typically start as greenish-gray  water-soaked spots. They then expand and develop a pale  grayish-white or straw-colored center. The margin becomes more pronounced  turning reddish-brown or purplish-brown. In very old lesions  especially after drying  the entire lesion may become uniformly light brown or straw-colored  sometimes with visible sclerotia.
Sheath blight,Symptoms,What happens to the tissue inside the sheath when it is infected by sheath blight?,When infected by sheath blight  the tissue inside the leaf sheath undergoes significant degradation. The fungus *Rhizoctonia solani* produces enzymes that break down cell walls  leading to the collapse and death of the plant cells. This results in a softening  rotting  and browning of the internal sheath tissue. The vascular bundles  responsible for water and nutrient transport  become damaged  severely impairing the plant's physiological functions and leading to localized rot.
Sheath blight,Symptoms,"Can the small, hard bodies (sclerotia) float on water, and how does this affect scouting?",Yes  the small  hard bodies (sclerotia) of *Rhizoctonia solani* can float on water. This characteristic is crucial for their dispersal within and between rice fields  as irrigation water acts as a primary vehicle for spread. During scouting  observing floating sclerotia on the water surface is a strong indicator of the pathogen's presence and active spread  especially if lesions are also visible on plants near the waterline. This aids in early detection and management decisions.
Sheath blight,Symptoms,"What are the symptoms of sheath blight on rice panicles, if they are infected?","If rice panicles are infected by sheath blight  the symptoms primarily appear on the panicle branches and spikelets. Infected spikelets may become discolored  appearing dark brown or black  and often sterile or partially filled. The disease can also cause the panicle neck to rot  leading to premature drying or ""neck blast"" symptoms. This results in significant yield loss due to reduced grain quality and quantity."
Sheath blight,Symptoms,What is the significance of the grayish-white center of a mature sheath blight lesion?,The grayish-white center of a mature sheath blight lesion is significant because it indicates the area where the fungus has actively colonized and degraded the plant tissue  leading to tissue death and desiccation. This lighter coloration is due to the dead  dried-out plant cells. It contrasts sharply with the darker  reddish-brown margin  which often represents the active fungal growth front  making it a key diagnostic feature of the disease.
Sheath blight,Symptoms,Does the disease cause any distinct odor in the field?,Sheath blight itself does not typically produce a distinct or strong odor in the field. The lesions are primarily characterized by their visual appearance and the presence of sclerotia. However  in very severe and widespread infections  particularly if secondary bacterial or fungal soft rots occur in conjunction with sheath blight  a faint  general smell of decaying plant matter might be observed  but it is not a direct symptom of sheath blight.
Sheath blight,Symptoms,At what height on the plant does the infection typically begin?,Sheath blight infection typically begins on the lower leaf sheaths of the rice plant  very close to or at the water line in flooded fields. Sclerotia floating on the water surface come into contact with the plant base  germinate  and initiate infection. From these initial points  the fungus spreads vertically up the plant  infecting successive sheaths.
Sheath blight,Symptoms,How does high humidity influence the appearance and size of the lesions?,High humidity significantly influences the appearance and size of sheath blight lesions. It promotes rapid fungal growth and lesion expansion. Under humid conditions  lesions appear larger  more elongated  and retain their water-soaked  greenish-gray appearance for longer before turning grayish-white. High humidity also favors the development of visible fungal mycelium (web-like growth) on the lesion surface and surrounding sheath  further facilitating upward spread.
Sheath blight,Symptoms,Can sheath blight lesions be mistaken for rat damage or mechanical injury?,Sheath blight lesions can sometimes be superficially mistaken for rat damage or mechanical injury  but key differences exist. Rat damage typically involves chewing or shredding of plant parts  often with uneven edges and physical removal of tissue. Mechanical injury might show clean cuts or tears. Sheath blight  however  presents distinct oval lesions with characteristic color changes and the presence of sclerotia  which are absent in physical damage.
Sheath blight,Symptoms,What visible sign indicates that the fungus is actively growing on the outside of the sheath?,The most visible sign that the fungus is actively growing on the outside of the sheath is the presence of a grayish-white  cottony  web-like fungal growth  known as mycelium. This mycelial mat can be seen spreading over the surface of the lesions and even to adjacent healthy sheath tissue  especially under high humidity conditions. The formation of small  brown sclerotia on these mycelial mats also indicates active fungal development.
Sheath blight,Symptoms,Does the sheath blight fungus also infect rice roots?,The sheath blight fungus  *Rhizoctonia solani*  is primarily known for infecting the aerial parts of the rice plant  specifically the leaf sheaths  culms  and sometimes panicles. While it is a soilborne pathogen and its sclerotia survive in the soil  direct significant infection of rice roots by *R. solani* is not a primary symptom of sheath blight disease in rice. Root damage is more commonly associated with other root-rotting pathogens.
Sheath blight,Symptoms,How is the Plant Disease Index (PDI) for sheath blight calculated based on the lesion height?,The Plant Disease Index (PDI) for sheath blight is often calculated by assessing the vertical spread of the lesions on individual tillers. A common method involves determining the highest point of infection relative to the plant's total height. This is usually expressed as a percentage or assigned a score based on a defined scale  with higher scores indicating lesions reaching higher on the plant and thus greater disease severity and potential yield loss.
Sheath blight,Symptoms,What is the maximum size a sclerotium can reach on the rice sheath?,Sclerotia of *Rhizoctonia solani* on the rice sheath are typically small  ranging in size from 1 to 5 millimeters in diameter. They are usually spherical to irregular in shape  resembling tiny mustard seeds. While most are within this range  in rare cases and under optimal conditions  they might reach slightly larger sizes  but exceeding 5-6 mm is uncommon.
Sheath blight,Symptoms,Do the lesions ever appear reddish-brown without the grayish-white center?,While the grayish-white center with a reddish-brown margin is characteristic  early sheath blight lesions can sometimes appear more uniformly reddish-brown or purplish-brown  especially during their initial development or in certain environmental conditions. However  as the lesion matures and the tissue necroses and dries  the central pale area usually becomes evident. A completely reddish-brown lesion without any pale center might suggest a different pathogen or secondary infection.
Sheath blight,Symptoms,What is the final visual impact on the leaf blades above a heavily infected sheath?,"The final visual impact on leaf blades above a heavily infected sheath is often yellowing  wilting  and premature death. Since the sheaths are responsible for nutrient and water transport to the blades  severe infection disrupts these vital processes. The blades may also become discolored  turn straw-colored  and eventually dry up  contributing to the ""burnt"" appearance of the canopy. This significantly reduces the plant's photosynthetic capacity."
Sheath blight,Symptoms,Can I see the sheath blight fungus (mycelium) with my naked eye?,Yes  you can often see the sheath blight fungus (mycelium) with your naked eye  especially under conditions of high humidity. It appears as a grayish-white  cottony  web-like growth on the surface of infected leaf sheaths  particularly around the active lesions. This visible mycelial growth is a strong diagnostic feature and indicates the active spread of the pathogen on the plant surface.
Sheath blight,Symptoms,How does the vertical spread of the lesion affect the internal development of the panicle?,The vertical spread of sheath blight lesions significantly hinders the internal development of the panicle. As the lesions move upwards  they damage the vascular tissues within the sheaths and culm that supply nutrients and water to the developing panicle. This disruption leads to incomplete panicle emergence  poorly filled grains  increased sterility  and overall reduction in grain size and weight  directly impacting yield.
Sheath blight,Symptoms,What specific symptom indicates a high risk for poorly filled or sterile grains?,The most specific symptom indicating a high risk for poorly filled or sterile grains is the infection of the flag leaf sheath or the panicle neck. When lesions reach these critical points  the supply of assimilates to the developing grains is severely cut off. This directly results in white  empty  or shriveled spikelets  leading to significant yield and quality loss.
Sheath blight,Symptoms,Does the disease cause yellowing or discoloration on the entire plant?,"Sheath blight primarily causes localized yellowing and discoloration on the infected sheaths and  eventually  the leaf blades directly above them. While severe infection can lead to a general ""burnt"" or yellowed appearance across the lower canopy  it typically doesn't cause uniform yellowing of the *entire* plant from top to bottom. The discoloration is usually concentrated where the lesions are active  leading to localized plant death."
Sheath blight,Symptoms,How does the appearance of lesions differ between susceptible and resistant rice varieties?,In susceptible rice varieties  sheath blight lesions tend to be larger  spread more rapidly  and ascend higher on the plant  often reaching the flag leaf. They typically exhibit the characteristic grayish-white center with a dark reddish-brown margin. In contrast  resistant varieties may develop smaller  restricted lesions  often darker in color (e.g.  brown)  with less distinct margins  and slower vertical spread. Sclerotia formation might also be reduced or delayed in resistant types.
Sheath blight,Symptoms,What is the initial symptom of sheath blight on a very young rice seedling?,On very young rice seedlings  the initial symptom of sheath blight is usually a small  water-soaked  greenish-gray lesion appearing on the lowest leaf sheaths  often at or slightly above the soil line. These lesions are similar in appearance to those on mature plants but are smaller and may quickly encircle the delicate seedling stem  leading to damping-off or seedling death under severe conditions.
Sheath blight,Symptoms,When is the best time of day to look for the fungal web (mycelium) on the sheath?,The best time of day to look for the fungal web (mycelium) on the sheath is usually in the early morning  before the dew has completely dried  or after a rain event. High humidity  often present in the morning  favors the visible growth of the grayish-white  cottony mycelium. As the day progresses and humidity drops  the mycelium can become less distinct or retract.
Sheath blight,Symptoms,Do the lesions stop growing once they reach the top of the leaf sheath?,Sheath blight lesions generally do not stop growing simply because they reach the top of a leaf sheath. The fungus can continue its vertical progression by spreading from the top of one sheath to the base of the next higher sheath. It can also extend into the leaf blade or move onto the culm  continuing its damage upwards  especially under favorable conditions of high humidity and dense canopy.
Sheath blight,Symptoms,What is the effect of the disease on the color of the node below the infected sheath?,The disease primarily affects the sheaths and culms  but if the infection is severe and penetrates deeply  it can cause discoloration of the node below the infected sheath. This discoloration might appear as browning or blackening of the nodal tissue due to necrosis. This indicates significant tissue damage and compromised nutrient flow through that node.
Sheath blight,Symptoms,How quickly can the disease move from the base of the plant to the flag leaf sheath?,The speed at which sheath blight moves from the base of the plant to the flag leaf sheath depends heavily on environmental conditions and varietal susceptibility. Under highly favorable conditions (high humidity  dense canopy  susceptible variety)  it can move relatively quickly  potentially reaching the flag leaf sheath within 10-14 days after initial infection. In less favorable conditions  this progression can be slower  taking several weeks.
Sheath blight,Symptoms,Can the disease be confused with symptoms of deep-water rice stalk rot?,Sheath blight and deep-water rice stalk rot can both cause rot and weakening of the culm  leading to confusion. However  sheath blight lesions have distinct oval shapes  grayish-white centers  reddish-brown margins  and sclerotia  primarily on sheaths. Deep-water rice stalk rot  caused by other fungi  typically causes a generalized soft rot and blackening of the submerged culm  often without distinct lesions or sclerotia on the sheaths.
Sheath blight,Symptoms,What does the cross-section of an infected culm look like compared to a healthy one?,A cross-section of a sheath blight-infected culm would reveal discolored  usually brownish or grayish  and softened internal tissues. The vascular bundles may appear damaged or shriveled  and there might be signs of internal fungal growth. In contrast  a healthy culm cross-section will show firm  whitish  or green  intact pith and clearly defined  healthy vascular bundles  indicating robust tissue structure.
Sheath blight,Symptoms,Does sheath blight increase the plant's susceptibility to other stalk-rotting diseases?,Yes  sheath blight can increase the plant's susceptibility to other stalk-rotting diseases. The damage caused by sheath blight  including the weakening of the culm and disruption of nutrient flow  creates entry points and stress for the plant. This makes it more vulnerable to secondary infections by other opportunistic pathogens that cause stalk rots  exacerbating plant health issues and further contributing to lodging and yield loss.
Sheath blight,Symptoms,How does the density of plant population affect the vertical severity of the symptoms?,High plant population density significantly increases the vertical severity of sheath blight symptoms. A dense canopy creates a microclimate with higher humidity  which is highly favorable for fungal growth and spread. It also promotes plant-to-plant contact  allowing the fungus to easily move from one tiller to an adjacent one  facilitating rapid upward progression and more severe vertical infection within the plant and across the field.
Sheath blight,Symptoms,What are the key symptoms of sheath blight on the lower leaf sheaths of ratooning rice?,On the lower leaf sheaths of ratooning rice  sheath blight symptoms are similar to those on the main crop. Look for oval to elliptical  water-soaked  greenish-gray lesions near the water line. These lesions develop the characteristic grayish-white center with a reddish-brown margin. The presence of sclerotia on or near these lesions is also a key diagnostic feature  indicating the persistence of inoculum from the previous crop.
Sheath blight,Symptoms,Is there any specific symptom that appears on the soil line where the infection usually starts?,Sheath blight usually starts at or slightly above the water line  not directly on the soil line. The initial symptom is a water-soaked  greenish-gray lesion on the lowest leaf sheaths. However  sclerotia  the fungal survival structures  can often be found on the soil surface  especially if water has receded  serving as a source of inoculum that floats to the plant base when the field is flooded.
Sheath blight,Symptoms,What visible effect does the disease have on the height and overall growth of the infected tiller?,Sheath blight typically causes a reduction in the height and overall growth of infected tillers. As the lesions spread upwards  they disrupt nutrient and water transport  leading to stunted growth  reduced vigor  and premature drying of the leaves. Severely infected tillers may appear shorter  yellowish  and eventually die  contributing to a non-uniform and unhealthy canopy.
Sheath blight,Symptoms,"Do the sclerotia stay firmly attached to the sheath, or do they fall off easily?",The sclerotia of *Rhizoctonia solani* are initially produced within the fungal mycelial mat on the sheath and may appear to be somewhat attached. However  as the lesions mature and dry  or when disturbed  the sclerotia can easily detach and fall off the sheath. This detachment is crucial for their dispersal into the soil or onto the water surface  where they can initiate new infections or survive the off-season.
Sheath blight,Symptoms,How does the lesion appearance change under very dry field conditions?,Under very dry field conditions  sheath blight lesion appearance changes significantly. The lesions tend to be smaller  less elongated  and may not exhibit the typical water-soaked  greenish-gray initial phase. They often quickly dry out  becoming more uniformly straw-colored or light brown  with less distinct margins. The development of the characteristic grayish-white center and sclerotia may also be suppressed or less prominent due to unfavorable conditions for fungal growth.
Sheath blight,Symptoms,What is the characteristic shape of the fungal hyphae when observed under a microscope?,When observed under a microscope  the fungal hyphae of *Rhizoctonia solani* (the causal agent of sheath blight) are typically hyaline (clear) to light brown  septate (having cross-walls)  and relatively wide. A key characteristic is their right-angle branching  where the branch constricts slightly at the point of origin and a septum forms close to the branch point. This distinctive branching pattern is an important diagnostic feature.
